Date,Close,High,Low,Volume
2022-10-04,1.781135320663452,1.807587800448479,1.7017777761955606,3807900
2022-10-05,1.7546824216842651,1.781134895149788,1.7370474393739166,2435100
2022-10-06,1.7899527549743652,1.798770247945643,1.754682783089253,2873300
2022-10-07,1.7546824216842651,1.7899523863049625,1.7370474393739166,2431700
2022-10-11,1.7370479106903076,1.7635003913332306,1.692960337839288,3110200
2022-10-12,1.6753250360488892,1.7282300925097986,1.6400550684834792,3900800
2022-10-13,1.6841427087783811,1.7017776944546776,1.6224202589113446,5026900
2022-10-14,1.728230118751526,1.7370476107767645,1.684142553512536,4312300
2022-10-17,1.6841427087783811,1.728230278081928,1.657690230263937,2512800
2022-10-18,1.7017775774002075,1.7282301592079528,1.6841425929369098,1610800
2022-10-19,1.7370479106903076,1.7546828977855895,1.7017778313869292,1725600
2022-10-20,1.77231764793396,1.7899526326715631,1.7282301860899512,6098900
2022-10-21,1.7635003328323364,1.7899528125977469,1.737047853066926,2146400
2022-10-25,1.7458651065826416,1.77231758271564,1.719412630449643,3004600
2022-10-26,1.728230118751526,1.7723175788777192,1.692960045537775,5571300
2022-10-27,1.728230118751526,1.7635000868524806,1.7105951347010484,1985400
2022-10-28,1.7194126844406128,1.7458651614042406,1.7017775946853944,2414800
2022-10-31,1.781135320663452,1.781135320663452,1.7282303610933984,5314400
2022-11-01,1.7635003328323364,1.78113531934261,1.7458653463220628,1459300
2022-11-02,1.77231764793396,1.7899526326715631,1.7458651708275543,2801500
2022-11-03,1.7194126844406128,1.7635001460466593,1.6753251177217665,8191900
2022-11-04,1.781135320663452,1.781135320663452,1.7017777761955606,2247000
2022-11-07,1.7458651065826416,1.77231758271564,1.728230122493976,2703600
2022-11-08,1.7458651065826416,1.7635000906713072,1.728230122493976,1211900
2022-11-09,1.7546824216842651,1.7546824216842651,1.7105949659083937,3752100
2022-11-10,1.7458651065826416,1.7546825986269745,1.728230122493976,1453900
2022-11-11,1.7987699508666992,1.7987699508666992,1.7458650017766386,5294700
2022-11-14,1.7987699508666992,1.807587442381709,1.772317476321669,2649600
2022-11-15,1.781135320663452,1.789952813925128,1.763500334140101,2280000
2022-11-16,1.816404938697815,1.816404938697815,1.7634999894679169,3744600
2022-11-17,1.7635003328323364,1.7899528125977469,1.737047853066926,3208200
2022-11-21,1.7370479106903076,1.7546828977855895,1.692960337839288,3068900
2022-11-22,1.7194126844406128,1.75468265372545,1.7194126844406128,1839800
2022-11-23,1.728230118751526,1.754682594827242,1.719412626726287,1736600
2022-11-24,1.7635003328323364,1.78113531934261,1.737047853066926,3302000
2022-11-25,1.7679200172424316,1.7944387922107694,1.7502408339302065,3205700
2022-11-29,1.7679200172424316,1.7679200172424316,1.741401242274094,3062100
2022-11-30,1.856315851211548,1.856315851211548,1.750240756057736,31271700
2022-12-01,1.9447121620178225,1.9447121620178225,1.8209576616588017,10330200
2022-12-02,1.8916746377944944,1.918193414537793,1.8563160580509264,4409100
2022-12-05,1.8209574222564695,1.8916743606297848,1.8121178313038644,2511100
2022-12-06,1.838636875152588,1.8563160596634776,1.8121180983862528,2631100
2022-12-07,1.8474762439727783,1.8474762439727783,1.8386366527864009,2459000
2022-12-08,1.865155577659607,1.882834972219113,1.847476393852596,4100600
2022-12-09,1.8297971487045288,1.865155515133217,1.8209575570973568,1895100
2022-12-12,1.8121179342269895,1.8297971171363276,1.803278342772321,3080000
2022-12-13,1.8209574222564695,1.8474761951142853,1.7944386493986535,1783900
2022-12-14,1.8032782077789309,1.8474761617436164,1.7855990261930563,2443100
2022-12-15,1.7679200172424316,1.8121179755229944,1.7502408339302065,2478800
2022-12-16,1.8032782077789309,1.8032782077789309,1.7414010722283706,12719800
2022-12-19,1.8209574222564695,1.829797013209075,1.7767594674934433,1966700
2022-12-20,1.8209574222564695,1.83863660416168,1.803278240351259,1587100
2022-12-21,1.8209574222564695,1.83863660416168,1.7944386493986535,1642500
2022-12-22,1.8121179342269895,1.8386367085909965,1.803278342772321,3099600
2022-12-23,1.8032782077789309,1.820957389364805,1.7855990261930563,1557700
2022-12-27,1.8121179342269895,1.8209575256816584,1.794438751317652,2269100
2022-12-28,1.8121179342269895,1.8209575256816584,1.794438751317652,898400
2022-12-29,1.8032782077789309,1.829796980157742,1.7944386169859934,2228000
2022-12-30,1.7679200172424316,1.8386367504913324,1.759080425586319,4447800
2023-01-03,1.7679200172424316,1.7855992005546568,1.7502408339302065,1624100
2023-01-04,1.7590802907943726,1.8032782456882064,1.7590802907943726,1706800
2023-01-05,1.7590802907943726,1.7679198817731394,1.750240699815606,1391300
2023-01-06,1.8032782077789309,1.8032782077789309,1.759080253814245,3364000
2023-01-09,1.8209574222564695,1.8209574222564695,1.803278240351259,3771500
2023-01-10,1.8032782077789309,1.820957389364805,1.7855990261930563,6016600
2023-01-11,1.7414013147354126,1.8209576429508385,1.7325617227114765,9782000
2023-01-12,1.7414013147354126,1.750240906759349,1.7325617227114765,7753900
2023-01-13,1.7325615882873535,1.7502407709635524,1.7325615882873535,5168400
2023-01-16,1.7325615882873535,1.7502407709635524,1.7060427088968142,4176000
2023-01-17,1.7414013147354126,1.7414013147354126,1.7237221306875403,4281900
2023-01-18,1.7325615882873535,1.7502407709635524,1.723721996949254,4474500
2023-01-19,1.7325615882873535,1.741401179625453,1.723721996949254,4981000
2023-01-20,1.7325615882873535,1.741401179625453,1.723721996949254,3382000
2023-01-25,1.7502408027648926,1.7502408027648926,1.723722028268756,1850400
2023-01-26,1.723721981048584,1.750240754818257,1.723721981048584,4628300
2023-01-27,1.7502408027648926,1.7502408027648926,1.723722028268756,2952600
2023-01-30,1.7325615882873535,1.7502407709635524,1.7325615882873535,8476700
2023-01-31,1.679524064064026,1.7414013135662856,1.6176469199380152,15168300
2023-02-02,1.6353261470794678,1.6883637005854903,1.6353261470794678,8523200
2023-02-03,1.679524064064026,1.697203248100029,1.64416569599202,9219400
2023-02-07,1.6176466941833496,1.697203011242686,1.5911278164540033,11662300
2023-02-08,1.6353261470794678,1.6530053315814754,1.6088073703264567,5665300
2023-02-09,1.6441653966903689,1.6618445775080777,1.6088070350549508,6074700
2023-02-10,1.60880708694458,1.65300504041439,1.591127800180423,4602400
2023-02-13,1.5646090507507324,1.6264862918805496,1.5469298691068516,4697600
2023-02-14,1.5469298362731934,1.6088070760896631,1.5115714737359147,8820100
2023-02-15,1.6441653966903689,1.6441653966903689,1.5646089776344492,12518500
2023-02-16,1.5999674797058103,1.6618447233752498,1.5911278885210676,10039000
